"FID_","ID_seq_num","prov_sale","prov_kill","lat","long_","race_tail","race_tree","bcr"
,"172120134 2005"," ","AB",49.666666,-111.916666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120135 2005"," ","SK",53.233333,-110.066666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120137 2005"," ","AB",53.633333,-112.050000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120138 2005"," ","AB",56.050000,-117.966666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120140 2005"," ","AB",56.050000,-117.966666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120142 2005"," ","AB",56.333333,-119.500000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120144 2005"," ","AB",55.383333,-118.800000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120146 2005"," ","AB",55.333333,-119.050000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120153 2005"," ","BC",49.083333,-122.716666,"Branta canadensis","Branta hutchinsii","WRockies"
,"172120154 2005"," ","AB",51.583333,-110.800000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120157 2005"," ","BC",49.066666,-122.883333,"Branta canadensis","Branta hutchinsii","WRockies"
,"172120158 2005"," ","AB",52.550000,-110.833333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120162 2006"," ","MB",49.916666,-97.600000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120164 2006"," ","MB",50.800000,-97.083333,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120165 2006"," ","MB",49.916666,-97.600000,"Branta canadensis","Branta hutchinsii","ERockies"
,"172120167 2006"," ","MB",49.916666,-97.600000,"Branta canadensis","Branta canadensis","ERockies"
,"172120168 2006"," ","MB",50.666666,-100.700000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120171 2006"," ","MB",49.866666,-98.400000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120172 2005"," ","MB",52.450000,-100.983333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120172 2006"," ","MB",50.566666,-100.666666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120174 2006"," ","MB",50.566666,-100.666666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120176 2005"," ","MB",57.016666,-90.133333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120177 2006"," ","MB",49.866666,-98.400000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120178 2005"," ","MB",52.450000,-100.983333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120178 2006"," ","MB",50.666666,-100.700000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120180 2005"," ","MB",51.700000,-101.833333,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120180 2006"," ","MB",50.566666,-100.666666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120181 2005"," ","MB",57.016666,-90.133333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120181 2006"," ","AB",52.083333,-112.433333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120182 2006"," ","AB",51.450000,-111.633333,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120183 2005"," ","MB",49.633333,-97.500000,"Branta canadensis","Branta hutchinsii","ERockies"
,"172120185 2005"," ","MB",50.250000,-97.116666,"Branta canadensis","Branta canadensis","ERockies"
,"172120186 2005"," ","MB",49.800000,-97.316666,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120186 2006"," ","AB",58.400000,-116.000000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120188 2006"," ","AB",58.400000,-116.000000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120189 2006"," ","AB",52.083333,-112.433333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120191 2006"," ","AB",52.083333,-112.433333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120192 2006"," ","MB",51.533333,-99.783333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120194 2005"," ","MB",49.883333,-97.550000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120194 2006"," ","AB",51.966666,-111.600000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120200 2005"," ","MB",50.850000,-97.450000,"Branta canadensis","Branta canadensis","ERockies"
,"172120201 2006"," ","MB",49.883333,-97.133333,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120202 2004"," ","SK",51.833333,-105.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120204 2004"," ","SK",50.983333,-102.900000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120205 2006"," ","MB",50.200000,-98.283333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120206 2004"," ","SK",51.833333,-105.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120206 2005"," ","AB",56.633333,-117.816666,"Branta canadensis","Branta canadensis","ERockies"
,"172120206 2006"," ","MB",49.166666,-99.450000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120207 2006"," ","AB",52.433333,-113.183333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120208 2006"," ","MB",49.850000,-97.133333,"Branta canadensis","Branta canadensis","ERockies"
,"172120209 2005"," ","AB",56.883333,-117.583333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120211 2004"," ","SK",50.983333,-102.900000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120213 2004"," ","SK",52.116666,-106.633333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120213 2006"," ","AB",52.083333,-112.433333,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120215 2005"," ","AB",50.816666,-112.516666,"Branta canadensis","Branta hutchinsii","ERockies"
,"172120216 2005"," ","AB",0.000000,0.000000,"Branta hutchinsii","Branta hutchinsii","WRockies"
,"172120216 2006"," ","MB",51.166666,-100.750000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120217 2005"," ","AB",49.666666,-112.850000,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120219 2005"," ","AB",49.666666,-112.850000,"Branta canadensis","Branta canadensis","ERockies"
,"172120219 2006"," ","AB",54.733333,-111.633333,"Branta canadensis","Branta canadensis","ERockies"
,"172120220 2006"," ","MB",50.200000,-98.283333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120221 2005"," ","MB",50.016666,-97.333333,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120225 2005"," ","MB",50.966666,-97.316666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120228 2005"," ","AB",50.833333,-112.333333,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120229 2005"," ","MB",50.966666,-97.316666,"Branta canadensis","Branta canadensis","ERockies"
,"172120233 2005"," ","AB",53.016666,-113.116666,"Branta canadensis","Branta canadensis","ERockies"
,"172120234 2005"," ","AB",57.166666,-117.216666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120236 2005"," ","AB",54.183333,-110.966666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120240 2005"," ","AB",54.183333,-110.966666,"Branta canadensis","Branta canadensis","ERockies"
,"172120242 2004"," ","SK",51.866666,-105.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
